run id, strategy, time to plan, robot task number, human task number, makespan, risk
1, Planner, 18794.0, 9, 9, 150.0, 5.567324075807742E-20
2, Planner, 19497.0, 9, 9, 105.0, 1.1876958028389848E-18
3, Planner, 18934.0, 9, 9, 130.47619047619048, 9.667310299885403E-18
4, Planner, 18576.0, 9, 9, 138.57142857142856, 3.648601506321361E-19
5, RiskAssessmentPlanner, 79484.0, 9, 9, 156.6666666666667, 1.3486761021045478E-18
6, RiskAssessmentPlanner, 81470.0, 9, 9, 128.09523809523807, 5.368491073100321E-19
7, RiskAssessmentPlanner, 81819.0, 9, 9, 125.71428571428572, 7.891681877457469E-18
8, RiskAssessmentPlanner, 81381.0, 9, 9, 188.57142857142856, 1.2626691003931953E-19
9, MakespanPlanner, 95875.0, 9, 9, 105.0, 1.27874474866209E-18
10, MakespanPlanner, 65996.0, 9, 9, 105.23809523809524, 9.864602346821837E-18
11, MakespanPlanner, 123193.0, 9, 9, 105.0, 2.4941611859618677E-17
12, MakespanPlanner, 105907.0, 9, 9, 105.0, 4.676552223678502E-18
13, RiskPlanner, 57429.0, 9, 9, 360.0, 2.337302235907623E-24
14, RiskPlanner, 57417.0, 9, 9, 360.0, 5.2589300307921504E-24
15, RiskPlanner, 56212.0, 9, 9, 360.0, 5.2589300307921504E-24
16, RiskPlanner, 52947.0, 9, 9, 360.0, 3.505953353861434E-24
