run id, strategy, time to plan, robot task number, human task number, makespan, risk
1, Planner, 19835.0, 11, 7, 183.80952380952382, 1.1040491733981523E-22
2, Planner, 20991.0, 12, 6, 131.42857142857144, 3.190854028286922E-23
3, Planner, 18969.0, 10, 8, 168.0952380952381, 1.127050197843947E-19
4, Planner, 19462.0, 11, 7, 105.71428571428572, 3.381150593531841E-21
5, RiskAssessmentPlanner, 120020.0, 11, 7, 160.0, 6.210276600364605E-23
6, RiskAssessmentPlanner, 148920.0, 12, 6, 158.57142857142858, 6.232136773997893E-24
7, RiskAssessmentPlanner, 120174.0, 11, 7, 173.8095238095238, 3.1655297899671825E-22
8, RiskAssessmentPlanner, 139258.0, 12, 6, 200.00000000000003, 1.9562371291148514E-25
9, MakespanPlanner, 123669.0, 10, 8, 56.190476190476176, 2.164838020018653E-15
10, MakespanPlanner, 75782.0, 10, 8, 62.85714285714283, 3.4483464283319335E-15
11, MakespanPlanner, 99331.0, 9, 9, 62.85714285714283, 1.6972330076946226E-11
12, MakespanPlanner, 127511.0, 10, 8, 54.0, 9.896402377228126E-16
13, RiskPlanner, 50369.0, 12, 6, 480.0, 3.4763064351895177E-32
14, RiskPlanner, 49408.0, 12, 6, 480.0, 3.476306435189518E-32
15, RiskPlanner, 48789.0, 12, 6, 480.0, 3.476306435189518E-32
16, RiskPlanner, 48886.0, 12, 6, 480.0, 5.214459652784277E-32
