run id,shared,expertise,strategy,time to plan,average risk,max risk,foam collisions,wood collisions,metal collisions,best makespan,human makespan,best robot makespan,estimated robot makespan,robot foam,robot wood,robot metal
0,0,exp,RiskAssessmentPlanner,55972,49.64363636363636,491.776,2,0,1,234.0,121.5,234.0,271.5,3,3,3
1,0,exp,RiskAssessmentPlanner,54946,49.64363636363636,491.776,2,0,1,234.0,121.5,234.0,271.5,3,3,3
2,0,exp,RiskAssessmentPlanner,54894,49.64363636363636,491.776,2,0,1,234.0,121.5,234.0,271.5,3,3,3
3,0,exp,RiskAssessmentPlanner,54815,49.64363636363636,491.776,2,0,1,234.0,121.5,234.0,271.5,3,3,3
4,0,exp,RiskAssessmentPlanner,54887,49.64363636363636,491.776,2,0,1,234.0,121.5,234.0,271.5,3,3,3
5,0,exp,MakespanPlanner,67530,687.2628148148149,3089.0666666666666,0,1,0,121.5,121.5,63.25,65.125,3,3,3
6,0,exp,MakespanPlanner,104363,456.96525925925926,1600.0,3,1,1,121.5,121.5,111.5,151.5,3,3,3
7,0,exp,MakespanPlanner,67413,501.16622222222225,3200.0,2,3,0,121.5,121.5,95.25,125.875,3,3,3
8,0,exp,MakespanPlanner,111692,722.4103333333333,5120.0,0,1,1,121.5,121.5,103.0,108.5,3,3,3
9,0,exp,MakespanPlanner,58563,167.316,1805.3120000000001,1,0,1,136.5,121.5,136.5,152.125,3,3,3
10,0,exp,RiskPlanner,44612,33.82141414141414,227.52,2,1,0,234.0,121.5,234.0,271.5,3,3,3
11,0,exp,RiskPlanner,46639,39.52632996632997,301.04,2,2,0,234.0,121.5,234.0,284.0,3,3,3
12,0,exp,RiskPlanner,41738,32.399191919191914,227.52,1,1,0,234.0,121.5,234.0,259.0,3,3,3
13,0,exp,RiskPlanner,44614,33.82141414141414,227.52,2,1,0,234.0,121.5,234.0,271.5,3,3,3
14,0,exp,RiskPlanner,46738,29.47919191919192,150.64,1,0,0,234.0,121.5,234.0,246.5,3,3,3
15,0,exp,Planner,15049,559.4107777777779,4096.0,1,1,1,127.0,121.5,127.0,155.125,3,3,3
16,0,exp,Planner,14970,564.0808888888889,4096.0,1,2,1,121.5,121.5,112.75,142.75,3,3,3
17,0,exp,Planner,14976,649.7466666666667,6574.08,0,2,2,131.5,121.5,131.5,163.375,3,3,3
18,0,exp,Planner,14971,426.3310555555556,1721.875,1,1,1,121.5,121.5,115.75,144.75,3,3,3
19,0,exp,Planner,14994,829.273,5120.0,1,2,1,121.5,121.5,69.75,82.75,3,3,3
20,0,unexp,RiskAssessmentPlanner,58826,365.5786666666667,1905.0880000000002,2,0,2,234.0,177.75,234.0,284.0,3,3,3
21,0,unexp,RiskAssessmentPlanner,58760,365.5786666666667,1905.0880000000002,2,0,2,234.0,177.75,234.0,284.0,3,3,3
22,0,unexp,RiskAssessmentPlanner,58737,365.5786666666667,1905.0880000000002,2,0,2,234.0,177.75,234.0,284.0,3,3,3
23,0,unexp,RiskAssessmentPlanner,58774,365.5786666666667,1905.0880000000002,2,0,2,234.0,177.75,234.0,284.0,3,3,3
24,0,unexp,RiskAssessmentPlanner,58976,365.5786666666667,1905.0880000000002,2,0,2,234.0,177.75,234.0,284.0,3,3,3
25,0,unexp,MakespanPlanner,67480,2979.286666666667,20480.0,0,2,0,177.75,177.75,101.75,108.625,3,3,3
26,0,unexp,MakespanPlanner,67695,3357.0915555555557,16384.0,2,2,0,177.75,177.75,96.0,117.125,3,3,3
27,0,unexp,MakespanPlanner,67538,2691.496888888889,12800.0,3,3,0,177.75,177.75,101.25,124.25,3,3,3
