id,strategy,time,rtask,htask,makespan,risk,expertise,shared
16, Planner, 18626.25, 9.0, 9.0, 137.97619047619048, 1.1698660176980289E-14, unexp, 0
17, RiskAssessmentPlanner, 80787.25, 9.0, 9.0, 137.02380952380952, 5.9134915068124556E-15, unexp, 0
18, MakespanPlanner, 74452.25, 9.0, 9.0, 70.0, 1.1764684792156586E-12, unexp, 0
19, RiskPlanner, 53451.0, 9.0, 9.0, 360.0, 7.12126624913208E-21, unexp, 0
52, Planner, 19942.0, 11.25, 6.75, 160.35714285714286, 1.6503959491210187E-22, exp, 2
53, RiskAssessmentPlanner, 101087.75, 10.5, 7.5, 149.28571428571428, 1.0689493905689265E-19, exp, 2
54, MakespanPlanner, 105955.5, 11.25, 6.75, 82.26190476190477, 1.0226054674050646E-20, exp, 2
55, RiskPlanner, 56338.75, 12.0, 6.0, 480.0, 2.4233149581890247E-34, exp, 2
72, Planner, 19814.25, 11.0, 7.0, 147.26190476190476, 2.905712095888731E-20, unexp, 2
73, RiskAssessmentPlanner, 132093.0, 11.5, 6.5, 173.0952380952381, 9.627087637181842E-23, unexp, 2
74, MakespanPlanner, 106573.25, 9.75, 8.25, 58.97619047619046, 4.244733225408075E-12, unexp, 2
75, RiskPlanner, 49363.0, 12.0, 6.0, 480.0, 3.9108447395882084E-32, unexp, 2
92, Planner, 19225.5, 13.0, 5.0, 219.8809523809524, 2.0598073520966528E-29, exp, 4
93, RiskAssessmentPlanner, 139084.5, 13.25, 4.75, 173.80952380952382, 1.9756102122357777E-30, exp, 4
94, MakespanPlanner, 153171.25, 13.0, 5.0, 59.82142857142855, 1.0930090615939516E-22, exp, 4
95, RiskPlanner, 66770.5, 15.0, 3.0, 600.0, 1.9851796137484495E-44, exp, 4
112, Planner, 18723.75, 13.75, 4.25, 187.14285714285717, 1.6827247937653987E-25, unexp, 4
113, RiskAssessmentPlanner, 158142.75, 14.0, 4.0, 222.3809523809524, 1.5943800192264965E-28, unexp, 4
114, MakespanPlanner, 109964.25, 11.75, 6.25, 44.821428571428555, 4.011452305064837E-17, unexp, 4
115, RiskPlanner, 71544.75, 15.0, 3.0, 600.0, 2.5219133611693263E-43, unexp, 4
132, Planner, 19975.5, 16.5, 1.5, 253.6904761904762, 2.439781522523905E-38, exp, 6
133, RiskAssessmentPlanner, 159057.5, 13.25, 4.75, 179.5238095238095, 5.732878158021277E-25, exp, 6
134, MakespanPlanner, 213476.5, 14.0, 4.0, 42.02380952380952, 1.2128254328787286E-24, exp, 6
135, RiskPlanner, 77941.25, 17.0, 1.0, 680.0, 4.2879879656966526E-51, exp, 6
152, Planner, 20100.5, 16.5, 1.5, 255.47619047619042, 3.575881919434704E-37, unexp, 6
153, RiskAssessmentPlanner, 146344.25, 12.25, 5.75, 218.92857142857144, 4.7125811426615335E-23, unexp, 6
154, MakespanPlanner, 166571.0, 12.25, 5.75, 36.285714285714285, 7.69875534902553E-18, unexp, 6
155, RiskPlanner, 77893.75, 17.0, 1.0, 680.0, 1.5563808171787847E-50, unexp, 6
156, Planner, 18950.25, 9.0, 9.0, 131.01190476190476, 2.8188848735286503E-18, exp, 0
157, RiskAssessmentPlanner, 81038.5, 9.0, 9.0, 149.76190476190476, 2.475868499227842E-18, exp, 0
158, MakespanPlanner, 97742.75, 9.0, 9.0, 105.05952380952381, 1.0190377794695276E-17, exp, 0
159, RiskPlanner, 56001.25, 9.0, 9.0, 360.0, 4.090278912838339E-24, exp, 0
