id,strategy,time,rtask,htask,makespan,risk,expertise,shared
0, Planner, 19198.0, 9, 9, 98.0952380952381, 4.1419094770765036E-14, unexp, 0
1, Planner, 18491.0, 9, 9, 125.71428571428572, 1.5800130756670005E-15, unexp, 0
2, Planner, 18519.0, 9, 9, 180.0, 9.739939981367442E-17, unexp, 0
3, Planner, 18297.0, 9, 9, 148.09523809523807, 3.6981334616754484E-15, unexp, 0
4, RiskAssessmentPlanner, 82246.0, 9, 9, 156.1904761904762, 6.90318246179417E-16, unexp, 0
5, RiskAssessmentPlanner, 81377.0, 9, 9, 122.38095238095238, 1.3806364923588342E-14, unexp, 0
6, RiskAssessmentPlanner, 81951.0, 9, 9, 194.28571428571428, 1.4088127473049331E-16, unexp, 0
7, RiskAssessmentPlanner, 77575.0, 9, 9, 75.23809523809523, 9.01640158275157E-15, unexp, 0
8, MakespanPlanner, 71336.0, 9, 9, 70.47619047619048, 6.263998900516933E-14, unexp, 0
9, MakespanPlanner, 70142.0, 9, 9, 70.0, 3.4362508254264314E-13, unexp, 0
10, MakespanPlanner, 78217.0, 9, 9, 76.1904761904762, 2.405375577798503E-13, unexp, 0
11, MakespanPlanner, 78114.0, 9, 9, 63.333333333333314, 4.059071287534972E-12, unexp, 0
12, RiskPlanner, 55362.0, 9, 9, 360.0, 1.0781730208966325E-20, unexp, 0
13, RiskPlanner, 53352.0, 9, 9, 360.0, 2.129724485721744E-21, unexp, 0
14, RiskPlanner, 50206.0, 9, 9, 360.0, 4.791880092873924E-21, unexp, 0
15, RiskPlanner, 54884.0, 9, 9, 360.0, 1.0781730208966325E-20, unexp, 0
20, Planner, 18794.0, 9, 9, 150.0, 5.567324075807742E-20, exp, 0
21, Planner, 19497.0, 9, 9, 105.0, 1.1876958028389848E-18, exp, 0
22, Planner, 18934.0, 9, 9, 130.47619047619048, 9.667310299885403E-18, exp, 0
23, Planner, 18576.0, 9, 9, 138.57142857142856, 3.648601506321361E-19, exp, 0
24, RiskAssessmentPlanner, 79484.0, 9, 9, 156.6666666666667, 1.3486761021045478E-18, exp, 0
25, RiskAssessmentPlanner, 81470.0, 9, 9, 128.09523809523807, 5.368491073100321E-19, exp, 0
26, RiskAssessmentPlanner, 81819.0, 9, 9, 125.71428571428572, 7.891681877457469E-18, exp, 0
27, RiskAssessmentPlanner, 81381.0, 9, 9, 188.57142857142856, 1.2626691003931953E-19, exp, 0
28, MakespanPlanner, 95875.0, 9, 9, 105.0, 1.27874474866209E-18, exp, 0
29, MakespanPlanner, 65996.0, 9, 9, 105.23809523809524, 9.864602346821837E-18, exp, 0
30, MakespanPlanner, 123193.0, 9, 9, 105.0, 2.4941611859618677E-17, exp, 0
31, MakespanPlanner, 105907.0, 9, 9, 105.0, 4.676552223678502E-18, exp, 0
